Annee,Score,Metascore,Genre,Revenu,Votes
2002,6.7,33,1,40.12,225961
2018,7.6,82,7,188.02,225721
2016,7.4,70,1,36.26,225702
2006,6.8,58,3,195.33,225551
2001,6.6,61,5,45.17,225501
2012,7.1,69,7,64.58,225055
2013,7,81,1,26,224099
1992,8,59,7,63.9,224095
2011,6.8,64,1,51.58,224053
2012,6.3,43,1,58.88,223602
2002,7.7,72,6,104.45,223378
2003,5.9,38,1,127.15,223367
2012,6.2,55,5,79.73,223316
2004,6.1,35,1,120.18,223232
2012,7.4,86,4,182.21,223094
2005,7.8,82,7,38.41,222988
2014,5.8,68,1,101.2,222948
1988,7.5,69,5,73.71,222706
2008,7.1,70,7,23.22,222521
2011,7.1,60,14,62.5,222207
2012,5.8,41,1,65.42,221707
1999,7.8,68,5,10.82,221494
2007,7.8,85,7,50.93,221287
2016,7.4,51,1,86.26,220549
2011,7.3,84,5,82.58,220224
2001,6.4,43,5,145.1,220155
2002,7.1,77,7,116.72,219951
2017,7.2,65,8,504.01,219689
2004,6.5,44,7,114.2,219686
2012,7.3,68,6,21.38,219616
1998,7.1,45,1,70.09,219094
2001,7.6,52,4,52.99,219077
2017,6.7,62,1,168.05,218615
2008,7.8,63,4,35.74,218536
2011,7.2,67,3,165.25,217836
1995,7.2,65,1,106.6,217796
2016,6.9,32,1,47.37,217662
2001,7.6,53,7,51.4,217519
2005,7.4,83,3,53.36,217218
2006,7,57,1,27.83,216883
2012,7.2,66,5,15.02,216595
2014,7.5,69,7,0.07,216206
1996,7.3,77,5,153.95,216109
2004,7.3,59,1,59.02,215702
2008,7.3,53,1,5.69,215112
2011,7,57,2,37.41,214965
2010,6.7,64,1,119.22,214911
2007,7.3,64,2,3.68,214671
2011,6.1,33,1,36.39,214562
1997,7.9,85,7,26.4,214391
1987,7.6,68,1,65.21,214271
1995,5.4,51,1,184.03,214231
1994,7.2,63,1,146.28,213723
1999,7.8,44,1,0.03,213607
1990,8,72,2,184.21,213585
2011,6.1,36,1,55.1,213455
2006,7.5,56,6,2.22,213322
1998,7,60,1,141.15,213149
1975,8,86,4,50,212985
2008,7.6,58,7,34.19,212807
2005,6.6,40,11,87.04,212698
2011,7.9,89,5,44.67,212659
2017,7,58,1,404.52,212414
2009,8.1,NA,7,NA,212349
2006,7.3,51,7,10.14,212317
1997,3.7,28,1,107.33,212234
2017,6.4,65,11,74.26,211894
2013,6.6,66,5,24.48,211765
1993,7,53,5,219.2,211727
1999,6.4,81,11,140.54,211715
1998,7.6,71,3,120.62,211368
2006,6,45,1,62.51,211279
1959,8.3,97,5,25,211197
1973,8.3,80,5,159.6,211112
2000,7.1,49,11,39.24,210512
2017,6.6,39,1,172.56,210389
2006,6.9,52,5,63.22,209934
2007,7.7,82,6,17.11,209562
2000,6.2,48,5,157.02,209402
2011,7.2,75,3,123.48,209239
2008,6.8,48,6,81.16,209187
2012,7.3,58,6,37.4,209018
1985,7.8,60,2,61.5,209015
1998,7.3,67,1,111.55,208678
2007,7.4,42,2,93.47,208396
2003,7.7,70,6,16.25,208370
1987,7.6,67,1,53.42,208369
2008,6.9,61,5,67.29,208225
2008,7.1,56,7,83.08,208178
1992,7.7,62,7,141.34,208153
2012,5.5,52,2,292.3,207984
2015,7,75,1,110.83,207767
2004,6.7,55,5,114.33,207765
2015,6.8,41,1,31.57,207635
2017,6.8,44,1,100.23,207404
2016,7.4,99,7,27.85,207369
1991,6.7,52,2,119.65,207313
2005,7.9,72,4,119.52,207186
2012,7.6,68,1,41,206365
2013,6.6,51,1,61.74,206359
2005,7.5,81,7,31.49,206269
2016,7.6,81,3,248.76,205922
2013,6.7,49,1,25.13,205485
2010,5,58,2,300.53,205237
2000,6.6,49,5,90.57,205048
2000,6.7,36,11,53.33,204828
2013,6.9,60,5,66.38,204772
2009,6.2,41,7,79.96,204746
2011,7.1,67,7,40.96,204492
2010,6,30,5,162,204427
2007,5.2,35,1,115.8,204030
2007,6.3,68,11,107.92,204005
1997,6.2,63,1,47.75,203879
2013,6.4,37,1,89.3,203836
2003,7.3,64,13,52.16,203596
2006,7.6,67,5,40.14,203569
2005,7.6,71,5,24.79,203512
2015,7.6,82,7,109.77,203486
1989,7.6,88,3,111.54,203422
2007,6.9,62,6,80.21,203379
2011,4.9,45,2,281.29,202248
2000,6.6,43,2,39.79,202111
1982,8.1,79,4,52.77,201845
2000,8.1,83,7,5.38,201732
2009,7.3,64,2,0.06,201694
2014,6.2,52,1,58.61,201457
1997,7,51,2,53.88,201408
2016,7.1,68,1,158.85,201356
2007,6.5,48,1,219.96,201146
2016,7.3,77,3,486.3,200937
1993,7.7,66,7,77.32,200935
2010,6,37,1,67.63,200819
1981,8.4,86,2,11.49,200797
2016,6.5,46,1,65.08,200712
2004,6.7,38,1,57.76,200584
2003,6.6,38,1,138.61,200483
2010,7.3,63,3,148.42,200354
1978,7.2,70,12,188.76,200165
2003,7.1,54,5,75.59,200072
2004,8.1,90,7,5.79,199748
1995,6.8,41,1,65.81,199495
2001,6.7,66,5,71.54,199237
2014,6.3,42,7,23.02,199163
2004,7.5,67,5,26.78,199147
2016,7.8,96,7,47.7,198919
1999,6.6,59,1,206.04,198903
2006,6.6,31,11,46.98,198238
1963,8.2,87,2,12.1,198171
