Annee,Score,Metascore,Genre,Revenu,Votes
1999,6.4,81,11,140.54,211715
1998,6.2,40,1,140.46,147967
2007,6.2,44,1,140.13,137079
1989,5.8,51,5,140.09,70816
1999,5.9,61,2,140.04,110555
1975,7.4,58,5,139.88,118692
2012,6.3,45,1,139.85,266328
1992,6.3,51,5,139.61,76246
2018,6.3,61,1,139.38,99077
2003,6.7,47,1,139.31,404460
2010,8,88,4,138.8,575226
2003,5.8,46,5,138.61,84610
2003,6.6,38,1,138.61,200483
1986,8.1,92,7,138.53,341065
2012,7.2,69,1,138.45,464483
1997,8.3,70,7,138.43,735338
2016,7.3,62,11,138.29,292052
2009,6.8,55,3,137.86,87114
2013,7.5,68,11,137.4,375621
2006,6.4,45,5,137.36,276076
2018,7.6,64,1,137.02,236289
1999,8.5,61,6,136.8,962692
1996,6.6,60,1,136.49,108745
1998,5.3,32,1,136.31,166742
1996,5.7,49,2,136.19,88274
2012,7.7,86,4,136.03,520268
2003,6.2,52,5,135.65,187469
2005,5.8,48,3,135.39,75351
1990,6.8,51,1,135.27,76463
1998,6.7,25,4,135.03,91712
2014,6.2,41,1,134.94,91070
2007,7.1,69,1,134.53,364151
2008,6.8,61,1,134.52,380629
2008,6.7,64,1,134.51,332605
2013,5.7,35,2,134.51,111022
1978,7.3,80,1,134.22,143462
1996,7.4,58,1,134.07,286115
2006,6.9,66,1,134.03,296059
2013,5.4,19,5,133.67,124472
2004,7.2,56,7,133.38,437298
2009,6.7,48,13,133.38,245124
2013,6.7,61,1,132.56,386792
2017,8,66,7,132.42,93292
2006,8.5,85,6,132.38,1034138
2003,5.7,54,1,132.18,234049
1977,7.7,90,7,132.09,161982
2012,7.7,81,5,132.09,604275
2002,7.7,80,1,132.07,455854
2007,5.6,45,1,131.92,233468
2010,4.1,20,1,131.56,133915
2014,6.3,49,3,131.54,69317
2001,5.8,33,1,131.14,180716
1991,8.6,85,6,130.74,1079027
1989,6.3,63,2,130.72,124711
1994,4.8,38,5,130.51,68129
1998,6.6,37,1,130.44,140517
2008,6.5,54,1,130.32,185519
2015,6.2,42,1,130.18,192018
2017,5.2,27,1,130.17,107738
2007,7.8,76,4,130.16,357484
1999,8.4,86,7,130.1,959669
2002,7.1,57,11,129.13,290305
1996,5.6,62,5,128.81,98547
2006,7.3,89,5,128.51,325563
2016,5.3,60,1,128.34,177859
2014,7.7,60,1,128.26,522404
2005,6.3,64,3,128.2,118429
1988,7,47,5,128.15,140124
2000,7.9,93,1,128.08,235548
2010,8.1,63,13,128.01,961772
2014,6,69,2,128,119801
1985,6.8,40,7,127.87,159528
2007,7.1,75,3,127.81,161005
2008,7.8,70,7,127.51,523001
2016,6.3,52,1,127.44,127632
2013,6.3,61,5,127.35,150894
2002,6.2,45,5,127.22,93070
1994,7.3,41,5,127.18,320947
2003,5.9,38,1,127.15,223367
1997,6.3,50,5,127.12,112464
2011,7,72,13,127,314561
